,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
42,Scrypt,PoW/PoS,41.99995383,42,-0.32640026755914475,0.9806627900713595,-0.5639137717657983,42 Coin,0
404,Scrypt,PoW/PoS,1055184902.04,532000000,-0.3097360895050833,0.9808985376249053,-0.5642072315850538,404Coin,0
1337,X13,PoW/PoS,29279424622.5027,314159265359,2.3163275497762243,1.654289976821381,-0.5484350013648994,EliteCoin,0
BTC,SHA-256,PoW,17927175.0,21000000,-0.15198666375259912,-1.273338133131503,0.1839749300980649,Bitcoin,1
ETH,Ethash,PoW,107684222.6865,0,-0.16579178308368986,-1.972143005807952,0.38613646934138907,Ethereum,1
LTC,Scrypt,PoW,63039243.3000049,84000000,-0.17002520600425183,-1.1441767793311919,-0.07103188992171959,Litecoin,1
DASH,X11,PoW/PoS,9031294.37563393,22000000,-0.38733684384428346,1.2771041241867485,-0.3721831360307715,Dash,0
XMR,CryptoNight-V7,PoW,17201143.1449131,0,-0.15902429655675607,-2.1987711468560036,0.32871172182966873,Monero,1
ETC,Ethash,PoW,113359703.0,210000000,-0.16423441192597382,-1.972238981135063,0.3861205554105589,Ethereum Classic,1
ZEC,Equihash,PoW,7383056.25,21000000,-0.14832774898303788,-1.9369325696592683,0.42279123020633586,ZCash,1
BTS,SHA-512,PoS,2741570000.0,3600570502,-0.18780899193688275,1.098333736238503,-0.06872724411973363,Bitshares,0
DGB,Multiple,PoW,11406219141.0,21000000000,0.14943372068738758,-1.7858588753187876,0.3327269762902831,DigiByte,1
BTCD,SHA-256,PoW/PoS,1288862.0,22000000,-0.3071924067473739,0.8514828816458592,-0.30892411996772634,BitcoinDark,0
XPY,SHA-256,PoS,11995334.8847328,12500000,-0.27258063373579383,0.690802677193542,-0.027930091558272856,PayCoin,0
PRC,Scrypt,PoW,5768310.0,21000000,-0.17117147128663782,-1.144173554222896,-0.07101360045211097,ProsperCoin,1
KOBO,X15,PoW/PoS,25542535.5881841,350000000,-0.2343913938848956,1.9202775525148246,-0.5565585741067073,KoboCoin,0
SPR,X11,PoW,11149733.9976203,20000000,-0.2323156219587324,-0.847723101859893,0.12071951475840796,Spreadcoin,1
ARG,Scrypt,PoW,12205795.4449549,64000000,-0.1707881151663366,-1.1441907790696748,-0.07101814209001095,Argentum,1
AUR,Scrypt,PoW/PoS,18135099.992959,16768584,-0.3260598357081987,0.9806632620160233,-0.5639193430715113,Aurora Coin,0
BLU,Scrypt,PoW/PoS,635423900.0,0,-0.31863528035436145,0.9809551545540737,-0.5640683192226613,BlueCoin,0
XMY,Multiple,PoW,1688254250.0,2000000000,-0.10395146447573651,-1.7814104556831916,0.33640551429623833,MyriadCoin,1
MOON,Scrypt,PoW,88.0,384000000000,2.5495524595594805,-1.3244391152197614,-0.09758636649276112,MoonCoin,1
ZET,SHA-256,PoW,170204389.754849,169795588,-0.14907147608094284,-1.273337922585492,0.18392759556489996,ZetaCoin,1
SXC,Scrypt,PoW,128940951.183046,250000000,-0.1680436348573657,-1.1442243877530411,-0.07105940692085604,SexCoin,1
QTL,Scrypt,PoW,7357794.7925,100000000,-0.1705922701310019,-1.1442099102519192,-0.07101945442641189,Quatloo,1
ENRG,Scrypt,PoW/PoS,123062801.128773,0,-0.32489642003200414,0.9807194124181009,-0.5639437030230684,EnergyCoin,0
QRK,Quark,PoW,259557164.91477,247000000,-0.23634198310153381,-0.43080638463746845,0.01269971518726585,QuarkCoin,1
RIC,Groestl,PoW,49548585.1412917,84000000,-0.20571668310393548,-1.1568566867705017,0.09012032282151708,Riecoin,1
DGC,Scrypt,PoW,33442988.3440364,48166000,-0.17064078945407213,-1.1441735742036754,-0.0710222115598286,Digitalcoin ,1
BTB,Scrypt,PoW/PoS,42579.476901,500000,-0.32639620514673495,0.9806625749328027,-0.5639138167125106,BitBar,0
